"","bioreactor_model","variable","mean_value","med","Sdev"
"1","batch_Bas-Bellver_et_al_2020","Observed",36.71,38,7.04
"2","batch_Elmen_et_al_2020","Observed",16.94,17,5.46
"3","batch_Kim_et_al_2022","Observed",36.52,35,4.62
"4","batch_Kleigrewe_et_al_2022","Observed",34.56,35,7.22
"5","batch_Korth_et_al_2022","Observed",27.4,26,4.95
"6","single_stage_Xu_et_al_ 2019","Observed",25.28,24.5,5.66
"7","SHIME_Firrman_et_al_2021","Observed",30.69,32,4.4
"8","SHIME_Liu_et_al_2022","Observed",26.85,27,3.07
"9","SHIME_Ma_et_al_2022","Observed",21.12,21,2.74
"10","M-SHIME_Abbeele_2021","Observed",15.89,16,4.05
"11","M-SHIME_Chassaing_et_al_2017","Observed",24.6,24,5.81
"12","SIMGI_Zorraquin_et_al_2021","Observed",20.33,20,2.52
"13","TIM-2_Larsen_et_al_2019","Observed",27.98,27,5.13
"14","TIM-2_Vieira_et_al_2021","Observed",9.46,9,1.8
"15","Infors_Reese_et_al_2018","Observed",20.73,20,4.06
"16","PolyFermS_Pham_et_al_2019","Observed",19.94,20,2.37
"17","ARCOL_Leclerc_et_al_2021","Observed",12.18,12,1.91
"18","M-ARCOL_Deschamps_et_al_2020","Observed",26.56,24,8.47
"19","batch_Bas-Bellver_et_al_2020","Chao1",36.71,38,7.04
"20","batch_Elmen_et_al_2020","Chao1",16.94,17,5.46
"21","batch_Kim_et_al_2022","Chao1",36.52,35,4.62
"22","batch_Kleigrewe_et_al_2022","Chao1",34.56,35,7.22
"23","batch_Korth_et_al_2022","Chao1",27.4,26,4.95
"24","single_stage_Xu_et_al_ 2019","Chao1",25.28,24.5,5.66
"25","SHIME_Firrman_et_al_2021","Chao1",30.69,32,4.4
"26","SHIME_Liu_et_al_2022","Chao1",26.85,27,3.07
"27","SHIME_Ma_et_al_2022","Chao1",21.12,21,2.74
"28","M-SHIME_Abbeele_2021","Chao1",15.89,16,4.05
"29","M-SHIME_Chassaing_et_al_2017","Chao1",24.6,24,5.81
"30","SIMGI_Zorraquin_et_al_2021","Chao1",20.33,20,2.52
"31","TIM-2_Larsen_et_al_2019","Chao1",27.98,27,5.13
"32","TIM-2_Vieira_et_al_2021","Chao1",9.46,9,1.8
"33","Infors_Reese_et_al_2018","Chao1",20.73,20,4.06
"34","PolyFermS_Pham_et_al_2019","Chao1",19.94,20,2.37
"35","ARCOL_Leclerc_et_al_2021","Chao1",12.18,12,1.91
"36","M-ARCOL_Deschamps_et_al_2020","Chao1",26.56,24,8.46
"37","batch_Bas-Bellver_et_al_2020","Shannon",2.29,2.42,0.32
"38","batch_Elmen_et_al_2020","Shannon",1.5,1.66,0.55
"39","batch_Kim_et_al_2022","Shannon",2.27,2.26,0.16
"40","batch_Kleigrewe_et_al_2022","Shannon",1.63,1.76,0.33
"41","batch_Korth_et_al_2022","Shannon",2.06,2.1,0.18
"42","single_stage_Xu_et_al_ 2019","Shannon",1.88,1.88,0.36
"43","SHIME_Firrman_et_al_2021","Shannon",2.21,2.3,0.33
"44","SHIME_Liu_et_al_2022","Shannon",2.05,2.04,0.14
"45","SHIME_Ma_et_al_2022","Shannon",1.31,1.32,0.15
"46","M-SHIME_Abbeele_2021","Shannon",1.25,1.35,0.45
"47","M-SHIME_Chassaing_et_al_2017","Shannon",1.63,1.66,0.36
"48","SIMGI_Zorraquin_et_al_2021","Shannon",1.94,1.97,0.07
"49","TIM-2_Larsen_et_al_2019","Shannon",1.5,1.49,0.2
"50","TIM-2_Vieira_et_al_2021","Shannon",1.37,1.42,0.29
"51","Infors_Reese_et_al_2018","Shannon",1.67,1.75,0.36
"52","PolyFermS_Pham_et_al_2019","Shannon",2.01,2.05,0.19
"53","ARCOL_Leclerc_et_al_2021","Shannon",1.17,1.17,0.1
"54","M-ARCOL_Deschamps_et_al_2020","Shannon",1.66,1.73,0.46
"55","batch_Bas-Bellver_et_al_2020","InvSimpson",5.97,6.5,1.96
"56","batch_Elmen_et_al_2020","InvSimpson",3.68,3.45,1.82
"57","batch_Kim_et_al_2022","InvSimpson",7.03,6.68,1.37
"58","batch_Kleigrewe_et_al_2022","InvSimpson",3.33,3.32,0.93
"59","batch_Korth_et_al_2022","InvSimpson",5.3,5.57,1.01
"60","single_stage_Xu_et_al_ 2019","InvSimpson",4.13,3.44,1.91
"61","SHIME_Firrman_et_al_2021","InvSimpson",6.39,6.76,2.36
"62","SHIME_Liu_et_al_2022","InvSimpson",5.45,5.21,1.05
"63","SHIME_Ma_et_al_2022","InvSimpson",2.66,2.6,0.47
"64","M-SHIME_Abbeele_2021","InvSimpson",2.8,2.73,1.06
"65","M-SHIME_Chassaing_et_al_2017","InvSimpson",3.81,3.52,1.32
"66","SIMGI_Zorraquin_et_al_2021","InvSimpson",4.9,5.33,0.79
"67","TIM-2_Larsen_et_al_2019","InvSimpson",3.25,3.34,0.66
"68","TIM-2_Vieira_et_al_2021","InvSimpson",3.22,3.27,1.06
"69","Infors_Reese_et_al_2018","InvSimpson",3.74,3.59,1.12
"70","PolyFermS_Pham_et_al_2019","InvSimpson",5.26,5.32,1.1
"71","ARCOL_Leclerc_et_al_2021","InvSimpson",2.56,2.6,0.33
"72","M-ARCOL_Deschamps_et_al_2020","InvSimpson",3.85,3.54,1.77
