"","bioreactor_type","variable","mean_value","med","Sdev"
"1","batch","Observed",28.16,27,7.51
"2","single","Observed",25.28,24.5,5.66
"3","SHIME","Observed",23.22,23,6.71
"4","SIMGI","Observed",20.33,20,2.52
"5","TIM-2","Observed",22.61,25,9.52
"6","Infors","Observed",20.73,20,4.06
"7","PolyFermS","Observed",19.94,20,2.37
"8","ARCOL","Observed",21.94,21,9.75
"9","batch","Chao1",28.16,27,7.51
"10","single","Chao1",25.28,24.5,5.66
"11","SHIME","Chao1",23.22,23,6.71
"12","SIMGI","Chao1",20.33,20,2.52
"13","TIM-2","Chao1",22.61,25,9.52
"14","Infors","Chao1",20.73,20,4.06
"15","PolyFermS","Chao1",19.94,20,2.37
"16","ARCOL","Chao1",21.95,21,9.75
"17","batch","Shannon",2.01,2.1,0.34
"18","single","Shannon",1.88,1.88,0.36
"19","SHIME","Shannon",1.61,1.59,0.48
"20","SIMGI","Shannon",1.94,1.97,0.07
"21","TIM-2","Shannon",1.46,1.48,0.23
"22","Infors","Shannon",1.67,1.75,0.36
"23","PolyFermS","Shannon",2.01,2.05,0.19
"24","ARCOL","Shannon",1.5,1.41,0.45
"25","batch","InvSimpson",5.34,5.6,1.57
"26","single","InvSimpson",4.13,3.44,1.91
"27","SHIME","InvSimpson",3.9,3.39,1.84
"28","SIMGI","InvSimpson",4.9,5.33,0.79
"29","TIM-2","InvSimpson",3.24,3.33,0.79
"30","Infors","InvSimpson",3.74,3.59,1.12
"31","PolyFermS","InvSimpson",5.26,5.32,1.1
"32","ARCOL","InvSimpson",3.43,2.84,1.59
